student_id,college_id,program_id,cumulative_gpa,agg_terms,plans_for_paying
666afbb3-22ac-4314-9bfd-731fa7243ac0,833bce5a-c216-40f4-9673-fba2029ec757,67ae4436-c57c-407e-bda3-e8b93df3396c,3.75,Summer,[]
95bc3db0-a873-4fdf-af7b-6fc866d6335a,30ee62f5-47c5-4886-b742-a75efe7d692d,9d815fc8-10a3-4b7b-8702-86d98ca16c40,3.6,Summer,[]
d22591a7-fe2f-4dc7-96ff-b5d1cd51565a,a93fcf2e-b443-4369-a6e5-1d3b566ff455,dbc5be23-f12b-4c57-8858-083698774c04,3.8,Summer 2,['personalAndFamilyFunds']
82469473-4fc6-4ce7-a30a-785305de6b5f,faee213a-972d-44c3-aa2a-06acddcdaec1,dbc5be23-f12b-4c57-8858-083698774c04,3.78,Fall,['personalAndFamilyFunds']
75ae4d13-57b3-4c23-b8ea-f0e41b37b3f4,c8e964c7-022a-44a8-b5c9-c672e6c5e007,2a51195e-e087-483d-8de3-96f4b6954646,3.5,Summer,[]
41826dcc-71da-4619-8545-5b9f68b6d2dc,eaece21d-2ccf-4ed4-8f3f-1323eeaa164d,cbec4572-1049-4d45-bf06-798739838e13,4.0,Summer,[]
8687d25b-2de4-48b2-be22-d44d4983cb63,30ea5d5b-4d16-4e1a-b49c-66e955c28b21,c7bd29ea-81d1-413c-b503-a14ca37fbd88,3.67,Fall,['personalAndFamilyFunds']
94f9686a-3b75-4a33-8137-029fe81053f5,da0e9aef-1697-4ee4-bc55-9053a4b4d411,fe89a122-c95d-4e53-8ede-802708c79306,3.0,Summer,[]
b80a3395-5d72-411e-8342-02af2ad871dd,6c227bc2-7126-4a28-a431-ae43ac25ad71,dbc5be23-f12b-4c57-8858-083698774c04,3.66,Fall,['personalAndFamilyFunds']
659887f6-85d9-42ec-9bd2-0608200ecb64,0c096fab-5138-4582-a6e7-2e132878f653,5606125e-e715-45d9-89ce-fcc12a06ef5f,3.6,Spring,['personalAndFamilyFunds']
629da2ee-cc1b-4edb-8d52-01b1104aa707,e37ffcdc-dbfc-4e02-8ce1-2634092d2428,d0e4f33b-320e-4e0e-a2cb-7637b6492884,3.9,Fall,"['scholarshipsGrantsFromYourSchool', 'financialAid', 'personalAndFamilyFunds']"
